,RELG_NOW,SPIRIT_NOW,SBS,EDAS,DAQ,LE_Sum,DASS_Sum,EX_Sum,RELBEH_Sum,LOCUS_Sum,SWLS_Sum,GOD_pSum,GOD_nSum
Brazil,6.4082236506478925,5.6609784715845315,3.093131794846617,7.900480558679882,4.838898651863604,11.97502805836139,206.67401285583102,17.09080706050403,129.23153249668403,206.43263442505867,59.3388429752066,130.7561728395062,187.58017039077643
Turkey,5.513969218704048,4.071880207822762,5.511597446767322,6.094959542378207,3.509439924317397,15.513969218704048,113.46252818351141,14.253798647191454,117.84347122831097,288.66456719929425,66.2974463287913,99.57611998823644,205.45456327811
Indonesia,3.615562165377752,3.7533848899464606,1.1447088373211447,5.715986639764226,4.666324647923404,12.203783462224868,119.1841522903034,12.358834027364663,88.22805472932778,95.60366448542534,44.75612135633552,56.74441403926233,196.269268292683
China,5.340947901794463,7.234063995968756,4.486139494631836,5.507500645485156,4.266157784525746,7.09498614260519,176.77002323563167,8.594496234707874,77.4684359340444,153.8253688306598,45.382212144116906,155.85761876767168,129.87945466252341
Thailand,3.165119675255563,3.55540704438009,2.133034385819834,5.335586096702678,4.208808032770394,17.29877973317492,144.27801292047226,12.531868023068736,81.19838617855994,178.96626321130668,44.757159476250585,116.10351228929977,132.7908220093562
India,5.921847873263889,5.568766276041667,3.27661961678657,6.086006823904761,4.487306013688005,9.496419270833334,104.10609266493054,19.677490234375,115.7785373263889,187.37456597222226,43.10145399305555,115.03751627604167,200.25257703993054
USA,8.061454232936159,8.718989060891893,8.307377855956245,6.514810502031718,3.49688638023709,17.459877558382583,167.95671041602563,11.795329393415313,107.96959118929644,254.30343027512222,65.123661789515,186.35162176787023,241.66705217031478
Russia,4.937172912557528,4.184194608809993,5.1583928701821815,6.4717718604814065,4.031463510704642,47.93188691650229,144.1062458908613,14.293333333333333,45.717291255752784,243.15255752794215,58.47326758711374,152.5291255752794,141.43211045364893
