COUNTRY,GENDER,AGE,MARITAL,EMPLOYMENT,INCOME,RELG_NOW,SPIRIT_NOW,AFFILIATION,SBS,EDAS,DAQ,LE_Sum,DASS_Sum,EX_Sum,RELBEH_Sum,LOCUS_Sum,SWLS_Sum,GOD_pSum,GOD_nSum
Brazil,2,28,2,4,2,1,1,Christian,2.666666667,0.25,5.066666667,51.0,23.0,16,7.0,15,-9.0,17.0,-13.0
Brazil,2,51,1,2,5,5,5,Christian,2.5,0.0,4.933333333,56.0,42.0,18,9.0,17,-10.0,28.0,-21.0
Brazil,1,35,1,4,5,8,5,Christian,0.666666667,-4.0,0.2,53.0,41.0,16,27.0,20,11.0,1.0,-21.0
Brazil,1,25,3,1,4,7,7,Christian,4.0,4.0,8.0,55.0,66.0,15,40.0,0,0.0,-4.0,-28.0
Brazil,2,50,1,4,6,7,7,Christian,2.0,-4.0,2.066666667,50.0,61.0,21,13.0,7,-5.0,19.0,-1.0
Brazil,2,43,1,1,7,5,8,Christian,2.0,0.416666667,4.266666667,52.0,44.0,14,16.0,-2,6.0,22.0,-11.0
Brazil,1,42,1,4,6,8,8,Christian,2.0,-4.0,2.4,50.0,34.0,13,24.0,0,1.0,28.0,-12.0
Brazil,2,46,3,4,5,6,8,Christian,4.0,4.0,7.533333333,53.0,27.0,23,35.0,22,9.0,17.0,-1.0
Brazil,1,34,3,1,7,6,7,Christian,3.666666667,3.666666667,7.666666667,46.0,69.0,23,31.0,22,7.0,24.0,-15.0
Brazil,2,48,1,2,2,4,6,Christian,3.5,0.833333333,5.666666667,42.0,45.0,19,20.0,20,-8.0,28.0,-10.0
Brazil,2,49,2,1,10,8,8,Christian,3.333333333,-1.333333333,0.0,55.0,21.0,10,40.0,12,15.0,20.0,-16.0
Brazil,1,50,3,3,5,4,6,Christian,4.0,-3.333333333,3.333333333,47.0,37.0,11,22.0,-3,10.0,23.0,-24.0
Brazil,2,35,3,1,5,2,5,Christian,2.0,-3.583333333,5.6,47.0,37.0,19,23.0,-10,9.0,-16.0,22.0
Brazil,2,50,1,1,5,8,3,Christian,4.0,1.916666667,5.733333333,50.0,29.0,9,19.0,24,15.0,28.0,0.0
Brazil,2,51,3,1,7,5,3,Christian,1.0,3.333333333,6.933333333,48.0,40.0,17,29.0,6,5.0,19.0,-10.0
Brazil,2,29,3,1,6,6,4,Christian,4.0,3.583333333,4.266666667,52.0,34.0,22,24.0,16,-2.0,28.0,-12.0
Brazil,1,45,3,2,4,8,8,Christian,4.0,-4.0,3.4,46.0,52.0,18,32.0,-2,14.0,28.0,-28.0
Brazil,2,31,3,1,5,5,5,Christian,3.333333333,-4.0,3.466666667,56.0,25.0,17,19.0,4,9.0,20.0,-20.0
Brazil,1,34,3,1,5,8,8,Christian,4.0,4.0,8.0,43.0,54.0,25,40.0,20,11.0,28.0,-20.0
Brazil,1,45,1,3,6,8,8,Christian,4.0,-2.0,5.666666667,50.0,27.0,9,35.0,22,3.0,24.0,-9.0
Brazil,2,45,1,7,4,4,7,Christian,2.333333333,-1.666666667,3.733333333,56.0,30.0,17,16.0,22,8.0,28.0,-16.0
Indonesia,2,27,1,1,7,6,4,Christian,3.0,-0.5,3.6,54.0,30.0,11,25.0,20,10.0,27.0,-16.0
Brazil,1,50,5,7,4,6,6,Christian,4.0,-4.0,1.733333333,47.0,42.0,13,20.0,-16,7.0,28.0,-28.0
Indonesia,2,33,1,7,5,4,4,Christian,2.666666667,2.583333333,5.4,55.0,37.0,12,10.0,18,-7.0,22.0,2.0
Brazil,2,33,3,1,5,8,8,Christian,3.833333333,-3.5,3.0,54.0,43.0,18,30.0,24,13.0,28.0,-12.0
Brazil,2,48,3,1,8,7,8,Christian,2.666666667,-3.5,2.133333333,53.0,34.0,10,29.0,-24,10.0,28.0,-28.0
Indonesia,2,44,3,1,7,5,5,Christian,4.0,2.333333333,5.6,51.0,32.0,10,12.0,23,0.0,24.0,-18.0
Brazil,1,48,5,3,5,4,5,Christian,3.333333333,-3.083333333,2.733333333,54.0,62.0,18,13.0,16,1.0,28.0,-18.0
