,RELG_NOW,SPIRIT_NOW,SBS,EDAS,DAQ,LE_Sum,DASS_Sum,EX_Sum,RELBEH_Sum,LOCUS_Sum,SWLS_Sum,GOD_pSum,GOD_nSum
30s,7.427556656984858,6.0340202612554865,6.2278750558353115,6.180276602284529,4.35248071393826,338.99710159151766,140.68023960176788,14.779196481424115,141.12794403157886,287.1079342782043,55.09519968347539,143.32598660904608,187.9488530583577
20s,7.190875525018262,6.297708181154127,5.629650897694313,6.275310327970834,4.4085863566291446,369.5918296886413,167.07925207724617,18.55588020452885,139.8209915997078,278.76939999543464,60.53998128195764,157.41850518170196,202.67959048575602
40s,7.329762875757902,6.462082723243679,5.753769999109644,6.291247520057646,4.070978029171884,275.3151796857342,152.23851966863532,14.021285168188205,145.63231493401207,267.9832352276413,54.501154666325995,135.49216300940438,166.9053763229528
Teens,5.280661157024792,5.082314049586779,5.294618916461856,6.390068870431295,5.208257116804262,145.73421487603306,146.8,13.915371900826448,124.7517355371901,214.16330578512392,54.704132231404955,97.94247933884296,137.7771900826446
50s,8.004078177900892,6.9732225300092345,6.016323398655134,6.743712274647721,3.5403990969535957,421.59225915666354,171.6950600184672,19.092105263157894,137.65812557710063,293.6288088642659,63.827716220375486,145.375269313635,192.99576792859338
60s,9.12109375,8.2099609375,7.65795898415625,8.1835666236199,3.519440103955729,441.0,139.27734375,9.234375,132.0927734375,195.4365234375,62.25,171.24609375,185.21484375
70s,6.1875,9.25,4.824652777597222,6.699218750322918,1.2144444445222224,456.6875,40.0,7.5,130.75,320.1875,49.6875,24.5,183.6875
,,,,,,,,,,,,,
