,RELG_NOW,SPIRIT_NOW,SBS,EDAS,DAQ,LE_Sum,DASS_Sum,EX_Sum,RELBEH_Sum,LOCUS_Sum,SWLS_Sum,GOD_pSum,GOD_nSum
8,6.136488340192044,5.126457475994512,4.321349641790961,6.970971341002924,4.943214068087555,221.64814814814807,177.85073731138547,23.027006172839506,141.85185185185188,271.34182098765433,40.51123113854595,152.6920438957476,240.2743484224966
6,6.855084770793951,5.572896975425332,5.452863885988729,6.159646533996314,4.104661540398329,269.54666085775045,146.30360940453687,14.9507842036862,128.3344089673913,261.5838773038753,47.02043212429112,127.99362003780719,195.5390994210775
4,6.695360497140032,6.961443400889769,6.46111042444115,6.933491165994584,4.499764219330146,427.77056705034954,132.95791257679542,13.96124920556458,114.99103170680038,248.9345561754113,52.54953746204365,156.95736529906083,176.7861732928465
1,9.432397959183673,7.534438775510204,8.292623299368199,7.433801775263808,6.47990929718798,438.0357142857143,342.4642857142857,18.9795918367347,157.9591836734694,365.10586734693885,54.55102040816326,262.1875,241.6466836734694
7,6.518341398831264,4.888502100073046,5.0243372594580595,5.927949407458778,4.2609179448671295,230.24082359386415,143.88271548575602,17.346603360116877,141.16709276844412,275.54463796566836,46.268626734842954,116.1371439006574,163.13440467494522
5,7.37347412109375,6.422932942708333,6.23147846731045,5.832047639104211,3.6911624409258548,377.07366943359375,164.8774956597222,15.166822645399307,128.54554578993054,266.2108289930556,58.270155164930564,156.73404269748264,196.5872124565972
2,7.072702331961591,7.302545343697607,6.996502904079223,7.4977328151002895,4.292818506750848,501.1111111111111,190.79957323578722,18.275567748818776,119.93446121018137,299.7689376619418,74.95747599451303,204.66117969821673,187.4452065233958
3,6.817708333333333,6.729166666666667,6.619565275505295,6.306179470655045,3.892902994506438,423.3190104166667,160.90972222222223,14.768325617283953,102.4951774691358,290.0798128858024,52.67881944444444,143.77734375,198.84485918209873
10,7.24,5.76,6.266666666566666,7.28118055548111,9.989733333817334,197.21,98.6,45.559999999999995,187.89,241.64000000000001,23.36,118.56000000000002,165.41
9,6.37109375,5.05859375,2.5414225261438803,6.257378472345486,6.38248263899184,30.8662109375,188.8896484375,21.4443359375,73.21484375,236.6005859375,36.4208984375,74.5,183.3583984375
