,RELG_NOW,SPIRIT_NOW,SBS,EDAS,DAQ,LE_Sum,DASS_Sum,EX_Sum,RELBEH_Sum,LOCUS_Sum,SWLS_Sum,GOD_pSum,GOD_nSum
Christian,4.791464421402051,4.626786709946793,2.310838905373452,6.701384476570566,4.348317573969154,422.4674253655542,172.9946101546933,19.241600788378335,119.28015525520723,166.43831933644825,58.369293009625665,97.36681636057935,196.21783273758322
Buddhist,3.740504903667001,3.7149526012980894,2.361219740186285,5.1348727391128985,4.19759409783361,96.16907925718148,146.64392620953706,12.760918081120373,87.23789439200672,149.78227309023157,41.84746422063431,128.26956860015153,133.70102987244323
Hindu,5.240140817214509,4.995134686127923,2.640916102948973,5.857973049634403,4.442715609884383,64.86135833234445,116.29832680669278,20.14406075709031,108.6771884023575,176.07950634864127,45.66346267948262,106.54989913373679,212.71104782247536
Muslim,3.6423275245586972,3.599608566374346,1.321850652989223,6.104765023008906,4.043635356199286,27.9781418194136,123.70013926003989,13.809674808987918,117.37804396100718,156.6788456471828,59.05570401595845,70.88964582784449,196.3742801761451
,,,,,,,,,,,,,
Atheist,0.5237481833795745,5.345488175452504,3.0705802908693722,6.855390591944658,3.374516081716753,546.6723807636412,166.144437838552,11.142191835116924,17.310212709737087,40.226483022856385,60.910192892059705,193.87016118377593,215.75809221825872
Agnostic,2.7546401086464467,7.152670891806247,4.648923595376012,6.709119259521528,3.8159911471717316,522.6450882752376,194.59631054775912,10.694997736532368,29.637505658669077,123.65063377093708,63.017202354006336,228.54775916704392,221.055794477139
Other/Syncretic,7.389841371575068,4.805960583239865,3.0533746372259607,6.806797428539249,4.951346116162936,299.603909629867,193.07835282807244,17.125781124819735,123.7580515942958,230.03621214548954,62.32847300112163,130.77968274315015,171.7917000480692
