,RELG_NOW,SPIRIT_NOW,SBS,EDAS,DAQ,LE_Sum,DASS_Sum,EX_Sum,RELBEH_Sum,LOCUS_Sum,SWLS_Sum,GOD_pSum,GOD_nSum
3,7.370721692424812,6.144698719058212,5.583203756878327,6.298258958457005,4.416207267065958,284.4466677642549,147.63870208780986,15.40391951582286,147.88950663407672,285.16863880762514,50.277143850198904,132.32279507886454,185.80771942266858
1,7.00641356389495,6.231781875412557,5.967605016634609,6.342789430624158,4.154361162602547,346.52305279876396,160.53218456075015,16.492971022221198,124.81554013738,263.65479748991845,62.3413341942402,153.99714055937807,197.07369689352907
5,8.516923076923078,7.767100591715977,6.819750164253544,7.331074950508323,4.275896383920168,353.26390532544383,229.658224852071,17.553609467455622,145.86130177514792,266.6191715976331,55.19668639053255,150.6494674556213,197.6151479289941
2,6.567708333333333,6.670138888888888,6.722366898069951,6.461845816338019,4.19908516589994,507.68706597222223,156.38408745659723,17.16623263888889,116.62141927083333,259.4670138888889,55.90972222222223,175.94401041666666,186.5927734375
