ID,COUNTRY,GOODCOMPLETE,CONSENT,GENDER,AGE,ETHNICITY,ABROAD,ABROAD_YEAR,MARITAL,MARITAL_TEXT,EMPLOYMENT,EMPLOYMENT_TEXT,INCOME,LE1,LE2,LE3,LE4,LE5,LE6,LE7,LE8,LE9,LE10,LE11,LE12,LE13,LE14,LE15,LE16,LE17,LE18,LE19,LE20,LE21,LE22,LE23,LE24,LE25,LE26,LE27,LE28,LE29,ATTENTION1,ATTENTION2,DASS1,DASS2,DASS3,DASS4,DASS5,DASS6,DASS7,DASS8,DASS9,DASS10,DASS11,DASS12,DASS13,DASS14,DASS15,DASS16,DASS17,DASS18,DASS19,DASS20,DASS21,EX1,EX2,EX3,EX4,EX5,RELG_UP,AFF_UP,RELG_NOW,SPIRIT_NOW,AFF_NOW,AFFILIATION,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,RELBEH1,RELBEH2,RELBEH3,RELBEH4,RELBEH5,LOCUS1,LOCUS2,LOCUS3,LOCUS4,LOCUS5,LOCUS6,GOD1,GOD2,GOD3,GOD4,GOD5,GOD6,GOD7,GOD8,GOD9,GOD10,GOD11,GOD12,GOD13,GOD14,SWLS1,SWLS2,SWLS3,SWLS4,SWLS5,DAQ1,DAQ2,DAQ3,DAQ4,DAQ5,DAQ6,DAQ7,DAQ8,DAQ9,DAQ10,DAQ11,DAQ12,DAQ13,DAQ14,DAQ15,JONG1,JONG2,JONG3,JONG4,JONG5,JONG6,JONG7,JONG8,JONG9,JONG10,JONG11,JONG12,HONEST,COMMENTS,DROP1,DROP2,CHECK,SBS,EDAS,DAQ
R_4MlwKyz8Ina2kXr,Turkey,1,"1,2,3,4,5,6",2,50,Beyaz,2,NA,3,NA,1,NA,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,21,NA,2,2,3,2,2,2,1,2,1,1,2,2,2,4,1,3,2,3,2,1,1,2,3,2,2,2,7,12,6,7,12,Muslim,4,4,4,4,4,4,8,6,6,3,7,4,4,4,4,4,4,4,4,4,4,4,4,4,-4,-4,-4,-4,4,-4,-4,1,1,1,1,-1,2,0,7,7,0,6,5,7,1,0,0,5,3,0,1,1,0,-1,1,1,-3,-4,-4,4,-4,-4,-4,2,NA,0,NA,0,4,-1.416666667,2.933333333
R_9mgVK1TM2c8bqjX,Turkey,1,"1,2,3,4,5,6",2,31,middle eastren,1,0,3,NA,4,NA,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,2,2,2,2,2,1,21,NA,2,3,2,1,2,2,1,2,1,2,1,2,1,2,1,3,2,2,1,1,1,5,1,4,1,3,6,12,6,6,12,Muslim,3,2,2,4,3,1,7,4,0,0,2,3,4,4,4,4,3,4,4,4,4,4,4,4,-4,-4,-4,-4,-4,-4,0,1,1,2,3,2,4,4,3,4,4,4,3,3,3,4,4,5,4,3,6,0,1,1,0,0,-2,1,-3,0,2,0,0,2,yes I feel free to say every thing about me,0,NA,0,2.5,0,3.866666667
R_6g1SV88wfMHOz89,Turkey,1,"1,2,3,4,5,6",2,32,türk,2,NA,1,NA,1,NA,4,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,21,NA,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,1,2,3,3,1,1,2,2,2,2,2,5,12,5,6,12,Muslim,4,4,4,4,4,4,8,8,6,4,5,-3,-4,-4,-4,-4,-4,4,4,4,4,4,4,4,-4,4,4,-4,4,-4,4,-2,-2,0,-1,-3,2,3,8,5,2,5,5,5,0,0,0,2,0,0,6,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,kader ve kaza konusunda iyi bir araştırma yapılıp soruların bu yönde olması iyi olurdu,0,NA,0,4,-3,2.866666667
R_3lAOqkAwRcOlJel,Turkey,1,"1,2,3,4,5,6",1,33,türk,2,NA,3,NA,5,NA,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,21,NA,3,1,2,1,3,3,2,2,2,2,2,3,3,3,2,2,3,2,2,1,1,1,3,2,2,2,8,12,8,8,12,Muslim,4,4,4,4,4,4,8,8,4,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,-4,0,0,-1,4,-4,0,1,1,2,2,1,6,4,8,5,6,5,8,8,0,0,0,7,0,0,6,1,2,-4,4,0,-3,-2,-4,2,-4,-4,-4,2,NA,0,NA,0,4,-1.333333333,4.2
R_br0Xa9J8oTd2xx3,Turkey,1,"1,2,3,4,5,6",1,40,Türk,2,NA,3,NA,5,NA,7,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,21,NA,2,2,1,1,1,2,1,2,1,2,2,2,2,1,1,1,1,2,2,1,1,2,1,2,1,1,2,12,3,6,12,Muslim,0,1,3,2,4,1,1,0,0,0,1,-4,-4,0,-4,-4,-4,4,4,4,4,4,4,4,-4,0,-4,-4,0,-4,-4,2,2,3,1,0,8,6,5,4,4,4,0,5,0,0,0,8,6,6,6,0,4,4,1,4,4,2,4,-4,3,3,4,2,NA,0,NA,0,1.833333333,2.416666667,4.133333333
R_bw8whu9Plh6w0GV,Turkey,1,"1,2,3,4,5,6",2,21,TÜRK,2,NA,1,NA,1,NA,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"2,3,9,17",21,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,1,6,12,5,5,12,Muslim,4,4,4,4,4,4,4,5,5,2,5,0,4,2,0,0,0,4,4,4,4,4,4,4,-4,-4,-4,-4,0,-4,-4,0,0,0,0,0,5,5,7,6,5,5,5,5,2,5,6,5,5,5,5,0,0,0,3,0,2,-2,-2,0,0,0,0,1,NA,1,0,1,4,0.083333333,5.066666667
R_3TShoEluMSJPwH3,Turkey,1,"1,2,3,4,5,6",2,34,Turk,1,3,3,NA,1,NA,6,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,"2,3",21,3,2,1,2,2,3,2,2,4,2,2,2,2,3,2,2,2,3,2,2,1,3,3,4,5,4,2,12,5,7,12,Muslim,4,4,4,4,4,4,8,8,5,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4,2,2,1,-1,1,-2,-2,5,8,8,8,8,8,8,8,8,5,8,8,6,8,8,4,4,4,4,4,4,0,0,4,0,2,-4,2,Dini konular ile ilgili düşüncelerimin ne amaçla arşivlendiğini merak ediyorum.. Saygılarımla,1,0,1,4,2.166666667,7.466666667
R_81X1mKg2lyfiGup,Turkey,1,"1,2,3,4,5,6",1,40,TÜRK,2,NA,3,NA,2,NA,4,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,21,NA,2,2,3,3,2,3,2,3,1,1,1,2,2,3,2,2,1,2,2,2,1,2,1,1,1,2,6,12,5,5,12,Muslim,-4,4,4,4,4,4,5,4,4,3,4,-4,0,4,4,4,4,4,4,4,4,4,4,4,-4,-4,-4,-4,-4,-4,-4,1,2,3,2,0,3,6,6,5,5,6,0,1,1,3,4,4,4,2,4,0,0,1,0,-2,-1,-2,0,-2,0,0,-1,2,DİNİ KONULAR ÇOK AGIR OLDUGUNDAN YORUM YAPMAK İSTEMİYORUM,0,NA,0,2.666666667,-0.583333333,3.6
R_0NHCVkeDionhnJX,Turkey,1,"1,2,3,4,5,6",2,35,türk,1,8,3,NA,1,NA,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,21,NA,4,3,4,3,3,4,1,3,1,3,2,3,2,4,2,3,3,3,4,3,3,3,2,2,5,3,4,12,4,7,12,Muslim,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,-4,-4,-4,-4,-4,-4,-4,-2,-3,-2,-1,-1,2,3,6,3,8,5,8,8,0,1,0,8,8,4,8,-1,4,0,2,-1,0,3,4,4,4,1,1,2,teşekkürler,0,NA,0,2.666666667,1.75,4.8
R_emqkwpMNpG5wXQh,Turkey,1,"1,2,3,4,5,6",2,42,kafkas,2,NA,3,NA,1,NA,7,1,1,2,1,1,2,2,2,2,1,2,2,1,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1,"1,2,5,13,18,19",21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,7,12,6,7,12,Muslim,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,-4,0,0,-4,2,-4,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,cool,1,0,1,4,0,1
